collection_date,IAV_sunnyvale,IAV_oceanside,IAV_palo_alto,IAV_san_jose,IAV_silicon_valley,IAV_southeast_san_francisco,Test_sunny,Test_Oceanside,Test_Palo,Test_san,Test_silcon,Test_south,Positive_sunny,Positive_Oceanside,Positive_Palo,Positive_san,Positive_silcon,Positive_south
2022/6/27,4921.962986,2302.000003,10976.33964,1817.074844,500,3572.080667,1,1,1,1,1,1,1,1,1,1,0,1
2022/6/28,4302.911792,11055.18982,11365.2153,6096.127447,500,1959.349813,1,1,1,1,1,1,1,1,1,1,0,1
2022/6/29,3612.185149,3229.727932,12289.37872,36891.99408,500,2600.877295,1,1,1,1,1,1,1,1,1,1,0,1
2022/6/30,5820.759351,9511.534033,500,5925.026646,500,7719.422454,1,1,1,1,1,1,1,1,0,1,0,1
2022/7/1,1023.782624,5753.669392,11826.92658,94743.36358,2865.078775,2893.525304,1,1,1,1,1,1,1,1,1,1,1,1
2022/7/2,1586.206555,9608.367521,3631.516195,21360.89914,500,2377.028714,1,1,1,1,1,1,1,1,1,1,0,1
2022/7/3,1595.406332,1866.300674,2501.361115,4913.317789,500,2379.196217,1,1,1,1,1,1,1,1,1,1,0,1
2022/7/4,5971.830901,2331.24842,19712.26971,4936.39317,1992.668329,500,1,1,1,1,1,1,1,1,1,1,1,0
2022/7/5,3571.771625,3399.580155,3532.211294,5672.305699,500,1525.818503,1,1,1,1,1,1,1,1,1,1,0,1
2022/7/6,1857.371136,799.020217,8512.264345,3135.859444,500,1909.049264,1,1,1,1,1,1,1,1,1,1,0,1
2022/7/7,2608.024482,2522.960248,19067.30375,2966.117391,2678.715606,5526.267994,1,1,1,1,1,1,1,1,1,1,1,1
2022/7/8,3118.100513,3560.430199,6835.750895,4531.78536,7107.683191,1577.740933,1,1,1,1,1,1,1,1,1,1,1,1
2022/7/9,1756.841623,2670.876702,5756.091012,4616.229049,1554.094315,1945.418016,1,1,1,1,1,1,1,1,1,1,1,1
2022/7/10,3027.260713,1377.416598,37170.69136,2495.215149,1657.220873,,1,1,1,1,1,0,1,1,1,1,1,0
2022/7/11,1525.553132,500,42659.72727,3353.462733,500,1200.014794,1,1,1,1,1,1,1,0,1,1,0,1
2022/7/12,500,1194.656626,19676.34276,2877.000807,500,2065.916856,1,1,1,1,1,1,0,1,1,1,0,1
2022/7/13,2111.459336,1112.42522,45423.32022,4772.630109,500,1413.818961,1,1,1,1,1,1,1,1,1,1,0,1
2022/7/14,500,500,40451.4446,4037.166419,500,1381.141508,1,1,1,1,1,1,0,0,1,1,0,1
2022/7/15,500,2601.837401,89042.4721,1160.467762,500,2945.947537,1,1,1,1,1,1,0,1,1,1,0,1
2022/7/16,1323.975417,1174.173454,118198.7871,500,500,1380.094347,1,1,1,1,1,1,1,1,1,0,0,1
2022/7/17,4521.084219,1496.701967,15438760.08,500,500,1084.975137,1,1,1,1,1,1,1,1,1,0,0,1
2022/7/18,2093.826346,2019.069476,145311.5859,500,500,3109.437919,1,1,1,1,1,1,1,1,1,0,0,1
2022/7/19,1269.049354,1351.945217,60511.68227,2709.3141,2689.760322,1948.997506,1,1,1,1,1,1,1,1,1,1,1,1
2022/7/20,1400.184451,1793.566658,48707.58327,1915.855136,500,1965.746309,1,1,1,1,1,1,1,1,1,1,0,1
2022/7/21,6289.158628,500,35991.39785,4221.138211,500,4176.657958,1,1,1,1,1,1,1,0,1,1,0,1
2022/7/22,2291.014493,3516.427432,33774.33883,500,500,2073.050982,1,1,1,1,1,1,1,1,1,0,0,1
2022/7/23,1575.567821,500,11282051.28,1327.407407,1102.10608,913.4429317,1,1,1,1,1,1,1,0,1,1,1,1
2022/7/24,5356.421356,500,46991.74117,500,500,1544.997416,1,1,1,1,1,1,1,0,1,0,0,1
2022/7/25,2983.695931,500,33839.12115,500,2162.826136,3305.938648,1,1,1,1,1,1,1,0,1,0,1,1
2022/7/26,6240.483959,500,53610.55444,500,500,922.5266226,1,1,1,1,1,1,1,0,1,0,0,1
2022/7/27,1136.197293,1066.744571,8060.176962,500,500,500,1,1,1,1,1,1,1,1,1,0,0,0
2022/7/28,3286.278832,500,17577.95479,2052.521972,5770.769794,2022.764228,1,1,1,1,1,1,1,0,1,1,1,1
2022/7/29,500,2270.345086,4847.808219,1343.588145,500,2656.07064,1,1,1,1,1,1,0,1,1,1,0,1
2022/7/30,500,500,8117.208087,6604.965182,500,2428.985507,1,1,1,1,1,1,0,0,1,1,0,1
2022/7/31,500,2122.643277,11485.63692,1998.170417,500,1798.230088,1,1,1,1,1,1,0,1,1,1,0,1
2022/8/1,500,500,1815.269741,1072.283251,500,1194.411178,1,1,1,1,1,1,0,0,1,1,0,1
2022/8/2,500,,6402.383013,2724.247524,500,500,1,0,1,1,1,1,0,0,1,1,0,0
2022/8/3,500,1875.982959,12168.96428,4174.097084,500,500,1,1,1,1,1,1,0,1,1,1,0,0
2022/8/4,1069.19523,500,26868.68462,1048.826069,11207.91648,500,1,1,1,1,1,1,1,0,1,1,1,0
2022/8/5,500,500,10323.2615,1424.274501,500,500,1,1,1,1,1,1,0,0,1,1,0,0
2022/8/6,500,1424.487122,10994.04413,500,500,825.0712251,1,1,1,1,1,1,0,1,1,0,0,1
2022/8/7,500,500,11127.35557,4410.911078,500,1041.066667,1,1,1,1,1,1,0,0,1,1,0,1
2022/8/8,1615.637589,500,11096.19687,4520.971302,500,2790.630631,1,1,1,1,1,1,1,0,1,1,0,1
2022/8/9,500,2445.672192,5065.333764,6422.420945,500,500,1,1,1,1,1,1,0,1,1,1,0,0
2022/8/10,887.0647859,925.1732655,32393.01575,990.0944637,500,1182.130584,1,1,1,1,1,1,1,1,1,1,0,1
2022/8/11,1534.109976,,14060.60606,1385.150079,500,500,1,0,1,1,1,1,1,0,1,1,0,0
2022/8/12,2628.410689,807.3394495,13444.44444,4138.863287,3271.111111,1162.639954,1,1,1,1,1,1,1,1,1,1,1,1
2022/8/13,1418.592856,500,29268.07298,4553.730525,1994.666667,915.7141641,1,1,1,1,1,1,1,0,1,1,1,1
2022/8/14,1257.765313,1184.616462,13218.79853,1826.504958,500,817.8300326,1,1,1,1,1,1,1,1,1,1,0,1
2022/8/15,911.9426279,500,9652.171816,1255.753864,500,500,1,1,1,1,1,1,1,0,1,1,0,0
