"","date","count","positive","concentration","substitution","low_7_a","med_7_a","upr_7_a"
"158","2022/10/20",0,0,NA,NA,4.33740333570842,4.50065208977074,4.68468149483742
"159","2022/10/21",0,0,NA,NA,4.34946046911235,4.51451748846937,4.69789649156503
"160","2022/10/22",0,0,NA,NA,4.36246074742893,4.52634464596776,4.70777397760815
"161","2022/10/23",0,0,NA,NA,4.37317351524394,4.53822399024087,4.71888125742733
"162","2022/10/24",2,2,4.321304711,4.321304711,4.38273558176556,4.54898300943255,4.72897086172594
"163","2022/10/25",2,2,4.825967678,4.825967678,4.39239728251033,4.5588666188444,4.73976501727856
"164","2022/10/26",2,2,4.873175122,4.873175122,4.39941948763832,4.56933127281715,4.74845493823974
"165","2022/10/27",0,0,NA,NA,4.40677338190539,4.57800409760191,4.75614884956464
"166","2022/10/28",0,0,NA,NA,4.41595316883713,4.58590245778172,4.76552179575416
"167","2022/10/29",0,0,NA,NA,4.41990945619811,4.59292770553519,4.77232045594526
"168","2022/10/30",0,0,NA,NA,4.42715235762545,4.60018838183354,4.78069494522495
"169","2022/10/31",2,2,4.437503839,4.437503839,4.43591438896185,4.60714103860517,4.78760677170847
"170","2022/11/1",2,2,4.668005984,4.668005984,4.44126284832694,4.61290567489459,4.79161907981919
"171","2022/11/2",2,2,4.895597433,4.895597433,4.4426269768629,4.61883036824084,4.79681418787846
"172","2022/11/3",0,0,NA,NA,4.44481006788219,4.62448439209432,4.80539229514086
"173","2022/11/4",0,0,NA,NA,4.44629928490433,4.63030599659062,4.81082992103965
"174","2022/11/5",0,0,NA,NA,4.45206319347612,4.63615160584618,4.81359058496642
"175","2022/11/6",0,0,NA,NA,4.45552478471887,4.64206626030607,4.81994392845274
"176","2022/11/7",2,2,4.687268978,4.687268978,4.45953309344939,4.6459855676254,4.82627182136062
"177","2022/11/8",2,2,4.555146281,4.555146281,4.46183537394932,4.65138738002659,4.83337964262514
"178","2022/11/9",2,2,4.991464471,4.991464471,4.46949068360039,4.65523692396118,4.83707774564634
"179","2022/11/10",0,0,NA,NA,4.47353201556498,4.66015899808214,4.84119988178545
"180","2022/11/11",0,0,NA,NA,4.47640239741064,4.66601448659621,4.84614676882771
"181","2022/11/12",0,0,NA,NA,4.4846282886917,4.67102929290308,4.84953249018387
"182","2022/11/13",0,0,NA,NA,4.49020942711031,4.67587726091021,4.85324225402993
"183","2022/11/14",1,1,4.530230774,4.530230774,4.49521077440474,4.68175366308295,4.85972960395791
"184","2022/11/15",2,2,4.785923242,4.785923242,4.49983447888851,4.68625850623622,4.8657981409723
"185","2022/11/16",1,1,4.752974361,4.752974361,4.50176827708377,4.6910054165029,4.86932650256456
"186","2022/11/17",0,0,NA,NA,4.50910751051547,4.69501323645502,4.87588928627717
"187","2022/11/18",0,0,NA,NA,4.5137191808006,4.69812497460242,4.87910553164001
"188","2022/11/19",0,0,NA,NA,4.51577179353735,4.70219767973686,4.88210906450137
"189","2022/11/20",0,0,NA,NA,4.51679948670326,4.70573183877427,4.88422681177791
"190","2022/11/21",2,2,4.716352783,4.716352783,4.5217938577172,4.7079285557839,4.88797305677977
"191","2022/11/22",2,2,5.083657793,5.083657793,4.52039358487511,4.70970946359771,4.89323854708562
"192","2022/11/23",2,2,4.8448878,4.8448878,4.52246815306282,4.71175201823807,4.89609755352912
"193","2022/11/24",0,0,NA,NA,4.5233483797728,4.71208662882156,4.89636813976293
"194","2022/11/25",0,0,NA,NA,4.52346484343823,4.70996402270204,4.89833504925317
"195","2022/11/26",0,0,NA,NA,4.51907809616983,4.70914376517837,4.89610879500879
"196","2022/11/27",0,0,NA,NA,4.51647405867518,4.7070039877478,4.89191445651391
"197","2022/11/28",2,2,4.817503619,4.817503619,4.51291438097543,4.70377846167938,4.88997907581093
"198","2022/11/29",2,2,5.025670992,5.025670992,4.50944584212738,4.69917706953943,4.88861615088306
"199","2022/11/30",2,2,5.053693302,5.053693302,4.50618994112286,4.69442511205745,4.8826026019757
"200","2022/12/1",0,0,NA,NA,4.50067775187418,4.68853498371926,4.87412587497509
"201","2022/12/2",0,0,NA,NA,4.49242844494041,4.68187597637362,4.86613979426769
"202","2022/12/3",0,0,NA,NA,4.48628437752603,4.67434628640888,4.85604038733611
"203","2022/12/4",0,0,NA,NA,4.48275433867993,4.66612668292834,4.84861370946278
"204","2022/12/5",2,2,4.342599098,4.342599098,4.47367707450132,4.65739520741511,4.84005808515994
"205","2022/12/6",2,2,4.81275944,4.81275944,4.46322800747962,4.64705293314498,4.8295485991152
"206","2022/12/7",2,2,5.367340058,5.367340058,4.45351752485295,4.63575148469086,4.81612538711339
"207","2022/12/8",0,0,NA,NA,4.44288779529635,4.62369409801918,4.80188523918581
"208","2022/12/9",0,0,NA,NA,4.43299924201368,4.61080236974177,4.7870588735024
"209","2022/12/10",0,0,NA,NA,4.42125443553122,4.59766500399761,4.77362868927243
"210","2022/12/11",0,0,NA,NA,4.40693773248581,4.58378428147363,4.75804594183677
"211","2022/12/12",2,2,4.764546395,4.764546395,4.39166019093559,4.57027391916566,4.74286204055803
"212","2022/12/13",2,2,5.164847468,5.164847468,4.37958943353277,4.555203875896,4.7231749437476
"213","2022/12/14",2,2,4.338739226,4.338739226,4.36476115993714,4.54044496038999,4.70741475107006
"214","2022/12/15",0,0,NA,NA,4.34873227502447,4.5259621167871,4.69423587033889
"215","2022/12/16",0,0,NA,NA,4.33242482513276,4.51183295412258,4.68056307912372
"216","2022/12/17",0,0,NA,NA,4.31562427759429,4.49870877122814,4.66743149116332
"217","2022/12/18",0,0,NA,NA,4.30209768346013,4.48470608490013,4.65666619277968
"218","2022/12/19",2,2,4.450883569,4.450883569,4.28659741943171,4.47299926920936,4.64417702986957
"219","2022/12/20",2,2,4.54658724,4.54658724,4.27461064053048,4.46180917203241,4.63440345028202
"220","2022/12/21",1,1,3.595359872,3.595359872,4.26380718671165,4.45046960219513,4.62542986225754
"221","2022/12/22",0,0,NA,NA,4.25347594770678,4.44231776307871,4.61773823759731
"222","2022/12/23",0,0,NA,NA,4.24499725986411,4.43500539101373,4.6126247877145
"223","2022/12/24",0,0,NA,NA,4.24001489514302,4.4298188671538,4.60675729933106
"224","2022/12/25",0,0,NA,NA,4.23616309842366,4.42616931683413,4.60312004823605
"225","2022/12/26",0,0,NA,NA,4.23148999347708,4.42337537858455,4.59867830253422
"226","2022/12/27",2,2,4.300678734,4.300678734,4.23049151047871,4.42083146183872,4.59720218942484
"227","2022/12/28",2,2,3.908436903,3.908436903,4.23283225237242,4.41879667785847,4.59526920721506
"228","2022/12/29",0,0,NA,NA,4.2369556520462,4.41924418425281,4.59861255371939
"229","2022/12/30",0,0,NA,NA,4.23870028749804,4.42049994715496,4.59873863554135
"230","2022/12/31",0,0,NA,NA,4.24326106224325,4.42184240304483,4.6008239196671
"231","2023/1/1",0,0,NA,NA,4.24770722431171,4.42354678481557,4.60433857751759
"232","2023/1/2",0,0,NA,NA,4.25495698460634,4.42528479987,4.60750796682466
"233","2023/1/3",2,2,4.503193669,4.503193669,4.25528924335967,4.42606939148154,4.60951968909392
"234","2023/1/4",2,2,5.277374188,5.277374188,4.25803786028531,4.42548158913666,4.61301615531267
"235","2023/1/5",0,0,NA,NA,4.25893843794988,4.42416080499196,4.61356955291499
"236","2023/1/6",0,0,NA,NA,4.25945845905964,4.4223790884723,4.61296879001669
"237","2023/1/7",0,0,NA,NA,4.25690278247171,4.41940809280664,4.60946785621612
"238","2023/1/8",0,0,NA,NA,4.25341795812934,4.41518869610735,4.60783565828206
"239","2023/1/9",2,2,4.777529467,4.777529467,4.25029181026701,4.41053000419926,4.60672483334494
"240","2023/1/10",2,2,4.537879389,4.537879389,4.24336598385218,4.4047906198943,4.59815311494382
"241","2023/1/11",2,2,4.643076232,4.643076232,4.23706111208469,4.39794282491545,4.59044738621687
"242","2023/1/12",0,0,NA,NA,4.23219347015253,4.38983582059814,4.58013063003738
"243","2023/1/13",0,0,NA,NA,4.22510996726575,4.37982220266481,4.56750029034771
"244","2023/1/14",0,0,NA,NA,4.21620766518642,4.3695900880727,4.55650462918732
"245","2023/1/15",0,0,NA,NA,4.20734505432258,4.35834933103491,4.54297347717564
"246","2023/1/16",0,0,NA,NA,4.19654910937191,4.34661395479672,4.52654527294701
"247","2023/1/17",2,2,4.524099265,4.524099265,4.18726332835794,4.33266642167877,4.50962882546845
"248","2023/1/18",2,2,4.04399381,4.04399381,4.17767868171981,4.31968539327071,4.48783249843363
"249","2023/1/19",2,2,4.154204009,4.154204009,4.16533351194389,4.30514538190137,4.46956030206781
"250","2023/1/20",2,2,4.457776751,4.457776751,4.14880983556176,4.28994091517695,4.44802770221491
"251","2023/1/21",0,0,NA,NA,4.13437655043421,4.27467906077121,4.42849771307936
"252","2023/1/22",0,0,NA,NA,4.11807305557997,4.25960646716218,4.40978212593245
"253","2023/1/23",2,2,4.582184639,4.582184639,4.09780569626419,4.24353339587109,4.39187428162548
"254","2023/1/24",2,2,4.044413959,4.044413959,4.08129710934548,4.22615028813304,4.37368228642218
"255","2023/1/25",2,2,4.109828592,4.109828592,4.06497061387685,4.20763312189441,4.35549113685478
"256","2023/1/26",0,0,NA,NA,4.04583583162844,4.18903239519337,4.33382370094235
