"","date","count","positive","concentration","low","median","upr"
"216",2022-08-04,6,4,3.63213294404654,3.29977042868488,3.36699622020817,3.42994160864957
"217",2022-08-05,6,2,3.58370531394624,3.29880025290132,3.36567033334227,3.4285712564251
"218",2022-08-06,6,3,3.37043581494482,3.29983426559334,3.36517112247661,3.42978340817084
"219",2022-08-07,6,3,3.56946627001544,3.30069879461426,3.36538117890618,3.4297780578451
"220",2022-08-08,6,4,3.58861305196936,3.30299537624642,3.36624539789125,3.42930379523383
"221",2022-08-09,6,3,3.63356835999726,3.30455733528682,3.36763331157747,3.43100996065064
"222",2022-08-10,6,5,3.2985943759185,3.30569563082972,3.36977880923048,3.43142990854129
"223",2022-08-11,5,3,3.49178578904566,3.30675773508716,3.3716394270855,3.43176946030381
"224",2022-08-12,6,6,3.44205231302946,3.30938899447917,3.37327664523584,3.43412965988187
"225",2022-08-13,6,5,3.5076498970055,3.31084390895931,3.37451475424306,3.43546449111496
"226",2022-08-14,6,5,3.29373065409037,3.31204163416058,3.37549852176005,3.43636670612522
"227",2022-08-15,6,3,3.34783236090767,3.31190505446144,3.37655623720915,3.43698352333198
"228",2022-08-16,6,3,3.78839669398998,3.31219375094469,3.37754898775669,3.43835391178886
"229",2022-08-17,6,3,3.45621007701136,3.31276594822486,3.37876464700802,3.43928008006155
"230",2022-08-18,6,3,3.63600947300236,3.31471233609941,3.38006962875967,3.44081772367656
"231",2022-08-19,6,3,3.53010126297973,3.31599188476675,3.38170521305176,3.44211926833432
"232",2022-08-20,6,3,3.36369250303209,3.31913591448006,3.38396232698952,3.44308044535615
"233",2022-08-21,6,3,3.39701319005695,3.32129600788231,3.38651210923778,3.44480591211819
"234",2022-08-22,6,3,3.322327220046,3.32455126538375,3.38839355375378,3.44719392916934
"235",2022-08-23,6,4,3.43459458796131,3.32646154234749,3.39070507098616,3.45001543626025
"236",2022-08-24,5,5,3.56300033402517,3.32846228895898,3.39257034900848,3.45235729369859
"237",2022-08-25,6,4,3.5958953830229,3.32994060250675,3.39438523758238,3.45373351554292
"238",2022-08-26,6,5,3.58189230804174,3.33180973038034,3.39555485675568,3.45491212738252
"239",2022-08-27,6,4,3.41009024596895,3.33282020419364,3.39609289321263,3.45583041916475
"240",2022-08-28,6,5,3.19712174496278,3.33431713879491,3.39606935494545,3.45637262815887
"241",2022-08-29,6,4,3.69095375201933,3.33470150438808,3.39607209069185,3.45563744298365
"242",2022-08-30,6,2,3.68491002498345,3.33349753379478,3.3961984193919,3.45685245507536
"243",2022-08-31,6,5,3.25224281688052,3.33398846835784,3.3957216161013,3.45644813136771
"244",2022-09-01,6,5,3.45928853206129,3.33223843010892,3.39557593131602,3.45497491913217
"245",2022-09-02,6,4,3.27876272904118,3.33142974395404,3.39485889741071,3.45408480980443
"246",2022-09-03,6,2,3.27627620703356,3.33158859383821,3.39444088267897,3.45309256604364
"247",2022-09-04,6,3,3.50793617503175,3.33175589025481,3.394174536716,3.45181704537184
