"","date","count","positive","concentration","low","median","upr","low_observed","median_observed","upr_observed"
"134",2022-05-14,5,5,3.62967929795401,3.58642388772294,3.6429398395142,3.70181828022015,3.37031151773496,3.64054480504373,3.91875631734381
"135",2022-05-15,5,5,3.81274758199772,3.59078397615568,3.64759928647415,3.70538194000783,3.37423482855126,3.6483428610172,3.92673221173204
"136",2022-05-16,5,5,3.46694471293612,3.5961151043909,3.65204611395323,3.71013031145955,3.36884456968186,3.65036242405586,3.92794627742041
"137",2022-05-17,5,5,3.50433150596313,3.60046766021632,3.65736523792771,3.71525366380371,3.37431283454226,3.65754232401223,3.94232175324052
"138",2022-05-18,5,5,3.70452100996295,3.60489727125539,3.66256063015041,3.72025820675466,3.39076100066023,3.6623211656874,3.93547689493946
"139",2022-05-19,5,5,3.76689440603519,3.61051973704472,3.66813111894627,3.72446042551218,3.39411999581324,3.66746088974134,3.94746673479273
"140",2022-05-20,6,6,3.7451944390073,3.61568645475102,3.67357179995879,3.72938213957622,3.39057296232663,3.67322141774182,3.95831631046309
"141",2022-05-21,6,6,3.50998366094874,3.62170374341111,3.67867750211386,3.73435078573005,3.40073592531019,3.67820480569626,3.97337890495771
"142",2022-05-22,6,5,3.34919157393078,3.62711820762034,3.68397526374542,3.73897539746678,3.41312589187018,3.68631476172101,3.95285951252294
"143",2022-05-23,6,6,3.58956188199833,3.63158300368614,3.68924622628644,3.74480635537188,3.41384290444073,3.68717705075578,3.97679563151049
"144",2022-05-24,6,6,3.66451336596118,3.63753297892166,3.69447922616475,3.75046015023177,3.41426736047344,3.69508612882218,3.97545538335033
"145",2022-05-25,6,6,3.75242487598611,3.64296496834694,3.69923509933815,3.75558144317866,3.42061638477804,3.70033503016153,3.9733900591445
"146",2022-05-26,6,6,3.82378848003099,3.64728088029991,3.70250064092597,3.76059492619979,3.41654917375034,3.70352899342313,3.99119615675465
"147",2022-05-27,6,5,3.94842761201522,3.64965013547862,3.70568598154434,3.76404714200428,3.42057206065661,3.70723067991329,3.98021578490708
"148",2022-05-28,6,6,3.8225604190182,3.65109620647166,3.70782899579414,3.76750757312801,3.42830938231257,3.71272177342929,3.99267964702595
"149",2022-05-29,6,6,3.79970920897804,3.65279523172729,3.70957484200671,3.76897936868863,3.43452421441411,3.71379105998796,4.00090202438803
"150",2022-05-30,5,4,3.79214686796626,3.65297955578913,3.71034212554565,3.76897054336682,3.43058600630568,3.71086017806473,3.97894885419974
"151",2022-05-31,6,6,3.53549633795136,3.65283639820581,3.70933694789948,3.76918517217462,3.43488185950426,3.71380225242006,3.9863503564314
"152",2022-06-01,6,6,3.67465520796528,3.65212708739244,3.70790966388003,3.7679984929754,3.42575251134936,3.71219777489787,3.99236822695172
"153",2022-06-02,6,6,3.76544061601962,3.6489106609453,3.70590451916815,3.76596887370873,3.43228333749219,3.70655479402823,3.99082259727488
"154",2022-06-03,6,5,3.82090023197049,3.647151979077,3.70296479583902,3.76295779588256,3.4310319650478,3.70688138910395,3.98454891045255
"155",2022-06-04,6,5,3.8406863740279,3.64304849094503,3.69948061663446,3.75886991636278,3.42118332524718,3.7048678218962,3.97954878077501
"156",2022-06-05,6,6,3.83685783201384,3.6397000246656,3.6953326292222,3.75424507399427,3.41811359612931,3.69681777102797,3.97020640179437
"157",2022-06-06,6,6,3.48431763594284,3.6345516851099,3.69107965469018,3.74947295098905,3.42696049584693,3.69249089608165,3.97298657919185
"158",2022-06-07,6,6,3.58782843398032,3.62970795225828,3.68574249299696,3.74504941406273,3.41193624375012,3.68914360225069,3.96153394847466
"159",2022-06-08,6,6,3.68624699899295,3.62489679096359,3.68051381119904,3.73898693866476,3.40450434157979,3.6806386292255,3.96044382532625
"160",2022-06-09,6,6,3.74427114898607,3.61866638699355,3.67526138550976,3.73349038803361,3.39533577592092,3.6754276751796,3.9577392983355
"161",2022-06-10,6,6,3.57718363396391,3.61275648911047,3.66966529000201,3.72920087823475,3.38191430194114,3.67071010499919,3.94249797879667
"162",2022-06-11,6,6,3.46691581502929,3.60663491903168,3.66424640757283,3.72365398753126,3.38264623522164,3.66289618986168,3.94606572913231
