"","time","incidence_2","wastewater","measured_ww","logWW","ND","ND_2","low_3_a","med_3_a","upr_3_a","error"
"891",108,1.652467229,93.10867683,2.277824734,1.968990155,0,0,0.800529021340092,1.87258215565354,2.54043315412171,0.0964079993464639
"901",109,1.652467229,92.52683706,2.540399848,1.966267716,0,0,0.524936813099444,1.72411659113807,2.463925610189,0.242151124861926
"911",110,1.652467229,92.13885207,2.21439828,1.964442797,0,0,0.141513700138649,1.58612970897589,2.40095919298158,0.378313088024112
"921",111,1.652467229,91.88053048,2.785794645,1.963223494,0,0,-0.0914808243249438,1.43482838247307,2.35516028255629,0.528395111526933
"931",112,1.652467229,91.70888256,2.620412964,1.962411402,0,0,-0.297087654931101,1.3217453884211,2.3370379624053,0.640666013578896
"941",113,1.652467229,91.59512499,2.55462531,1.96187236,0,0,-0.394988205442604,1.24871899304203,2.30679765180473,0.713153366957967
"951",114,1.652467229,91.51999264,1.570535077,1.961515977,0,0,-0.613695035031379,1.16799239858704,2.31965086493057,0.793523578412959
"961",115,1.652467229,91.4705966,2.18379798,1.961281512,0,0,-0.774016893121504,1.14873941986124,2.317401558165,0.812542092138758
"971",116,1.652467229,91.43831861,2.567407367,1.961128232,0,0,-0.794427978120179,1.11610934593348,2.28772935075461,0.845018886066523
"981",117,1.652467229,91.41740014,1.157577252,1.961028866,0,0,-0.770659674518822,1.13256885250339,2.30278458776329,0.828460013496612
"991",118,0.66096104,91.403997,2.048241693,1.960965187,1,0,-0.817135032044121,1.16878319425618,2.31897405193839,0.792181992743818
"1001",119,0.749055526,73.31770605,2.212220286,1.865208868,0,0,-0.886780673231985,1.18709007411108,2.30833959304079,0.678118793888924
"1011",120,0.848898326,62.80076337,2.142750488,1.797964923,0,0,-0.839166518360762,1.159480304464,2.34301061480871,0.638484618535997
"1021",121,0.960277638,57.57184663,1.016558555,1.76021016,0,0,-0.721087103043424,1.20430780214631,2.36514606820196,0.555902357853688
"1031",122,1.088681922,56.0978868,0.926627033,1.748946502,0,0,-0.816670267747704,1.20934233571481,2.32533442238385,0.539604166285191
"1041",123,1.233625935,57.45131401,2.087443587,1.759299966,0,0,-0.885136090908047,1.21195751672702,2.34209607951205,0.547342449272978
"1051",124,1.397824355,61.00151877,1.94116257,1.785340648,0,0,-0.75552872652104,1.22337398814265,2.37863867919758,0.561966659857354
"1061",125,1.583883111,66.37529248,0.924404032,1.822006448,0,0,-0.703927747264918,1.28510314866107,2.37814228962132,0.536903299338927
"1071",126,1.794692179,73.36979517,1.019188822,1.865517307,0,0,-0.668175140904523,1.26733818315886,2.39462681509778,0.598179123841137
"1081",127,2.033540627,81.90197013,2.014280993,1.913294349,0,0,-0.768162806483254,1.2482617085669,2.37219968371069,0.665032640433101
"1091",128,2.304152992,91.97611141,1.739446534,1.963675044,0,0,-0.620486080715404,1.281831633754,2.3562930297412,0.681843410245998
"1101",129,2.610746764,103.6630057,2.267869275,2.015623797,0,0,-0.621781284917101,1.3209584269462,2.40193619453137,0.694665370053798
"1111",130,2.958097565,117.0869992,2.210461829,2.068508676,0,0,-0.525092394885597,1.32128205680053,2.39512836635601,0.747226619199472
"1121",131,3.351612425,132.4185158,1.87827816,2.121948716,0,0,-0.618561321117636,1.28345495640342,2.40469729676166,0.838493759596577
"1131",132,3.797412577,149.8703792,2.448863988,2.175715806,1,0,-0.606153874628918,1.30607057203725,2.39714106944285,0.869645233962755
"1141",133,4.302426902,169.6968559,2.558513599,2.229673796,0,0,-0.595597096848574,1.30466946061612,2.39992754951509,0.92500433538388
"1151",134,4.874497355,192.1947179,1.993676351,2.283741448,0,0,-0.662975848723788,1.3101741385716,2.41748750102847,0.973567309428403
"1161",135,5.522497831,217.7058778,2.381459738,2.337870155,0,0,-0.636277987687185,1.28275764470371,2.40231456207562,1.05511251029629
"1171",136,6.256468078,246.6213214,2.454101853,2.39203062,0,0,-0.696874042660444,1.27574365761344,2.39780275842642,1.11628696238656
"1181",137,7.087007724,279.386186,2.241913021,2.446204929,0,0,-0.619031590406419,1.31850645996848,2.40469657118575,1.12769846903152
"1191",138,8.028466738,316.4921162,2.422094001,2.500362896,0,0,-0.630790707247073,1.32211103716874,2.3717513830607,1.17825185883126
"1201",139,9.094550392,358.5303097,3.126682932,2.554525876,0,0,-0.562672178649536,1.31576517013674,2.39043431193049,1.23876070586326
"1211",140,10.30159181,406.1469425,2.597973463,2.608683188,0,2,1.94017233393271,2.5397615575019,2.94747304310603,0.0689216304981026
"1221",141,NA,NA,NA,2.662826706,NA,3,2.64376124655308,2.66337409107678,2.68326517798174,0.00054738507678076
"1231",142,NA,NA,NA,2.716953149,NA,1,2.53143474401138,2.76090754443181,2.9955809014098,0.0439543954318102
"1241",143,NA,NA,NA,2.771059125,NA,3,2.75090020238138,2.77165176720625,2.79160751300304,0.000592642206247884
"1251",144,NA,NA,NA,2.825141752,NA,4,2.80613515656861,2.8258709758048,2.84531918267776,0.000729223804802448
"1261",145,NA,NA,NA,2.879196622,NA,1,2.63140829419023,2.81613041412168,2.99404086926854,0.0630662078783164
"1271",146,NA,NA,NA,2.933220013,NA,3,2.91299165165187,2.93303546971262,2.95343821298174,0.000184543287379491
"1281",147,NA,NA,NA,2.987207736,NA,3,2.96764122290516,2.98714669821057,3.00659890215524,6.10377894285641e-05
"1291",148,NA,NA,NA,3.041155059,NA,5,3.02113176199987,3.04148194430597,3.061110930256,0.000326885305970581
"1301",149,NA,NA,NA,3.095056639,NA,6,3.07605267058595,3.09541847191318,3.11428833281171,0.000361832913184479
"1311",150,NA,NA,NA,3.148906438,NA,5,3.12973443827488,3.1488739089845,3.16826010888707,3.25290155025471e-05
"772",96,2.579498667,244.9010382,2.248484964,2.388990626,0,0,0.625774280728733,1.79663890116331,2.55158685354363,0.592351724836693
"782",97,2.223646234,211.1051638,3.2876224,2.324498857,0,0,0.267338085474653,1.58578269354729,2.45880249879177,0.738716163452715
"792",98,1.916894978,181.9752232,1.477735427,2.260012261,0,1,1.15563624105028,2.16040808277233,2.76256793073903,0.0996041782276662
"802",99,1.652467229,156.8664809,1.888250299,2.195530154,0,0,0.87908426983401,1.99584411395425,2.67375468846743,0.199686040045745
"812",100,1.652467229,135.223426,1.940870708,2.131051935,0,0,0.605225304123989,1.83444295722079,2.56980193559103,0.296608977779211
